date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom
4/19/20,Moldova,MDA,2472,67,.02710356,.23569794,10488
4/19/20,Morocco,MAR,2855,141,.049387041,.1887853,15123
4/19/20,Netherlands,NLD,32655,3684,.1128158,.21079846,154911
4/19/20,New Zealand,NZL,1431,12,.0083857439,.01719456,83224
4/19/20,Niger,NER,648,20,.030864198,.13743372,4715
4/19/20,Nigeria,NGA,627,21,.033492822,.087655529,7153
4/19/20,North Macedonia,MKD,1207,51,.04225352,.10168492,11870
4/19/20,Norway,NOR,7078,165,.023311671,.049786869,142166
4/19/20,Pakistan,PAK,8418,176,.020907579,.085442849,98522
4/19/20,Panama,PAN,4273,120,.028083313,.22382274,19091
4/19/20,Peru,PER,15628,400,.025595086,.1087203,143745
4/19/20,Philippines,PHL,6259,409,.065345898,.104442,59928
4/19/20,Poland,POL,9287,360,.038763862,.045469679,204246
4/19/20,Portugal,PRT,20206,714,.03533604,.085662924,235878
4/19/20,Romania,ROU,8746,451,.051566429,.093429193,93611
4/19/20,Russia,RUS,42853,361,.008424148,.022089176,1940000
4/19/20,San Marino,SMR,461,39,.084598698,.26943308,1711
4/19/20,Saudi Arabia,SAU,9362,97,.010361034,.05201111,180000
4/19/20,Serbia,SRB,6318,122,.019309908,.16325159,38701
4/19/20,Singapore,SGP,6588,11,.0016697025,.069496602,94796
4/19/20,Sint Maarten,SXM,67,10,.14925373,.41104296,163
4/19/20,Slovak Republic,SVK,1161,12,.010335918,.026220696,44278
4/19/20,Slovenia,SVN,1330,74,.055639099,.032230705,41265
4/19/20,South Africa,ZAF,3158,54,.017099431,.027530054,114711
4/19/20,Spain,ESP,198674,20453,.10294754,.21357514,930230
4/19/20,Sweden,SWE,14663,2097,.14301303,.19655496,74600
4/19/20,Switzerland,CHE,27740,1393,.050216295,.12537116,221263
4/19/20,Thailand,THA,2765,47,.016998192,.027512986,100498
4/19/20,Tunisia,TUN,879,38,.043230943,.054603055,16098
4/19/20,Turkey,TUR,86306,2017,.023370333,.13606989,634277
4/19/20,Ukraine,UKR,5449,141,.025876308,.09541069,57111
4/19/20,United Arab Emirates,ARE,6781,41,.0060463059,.008840939,767000
4/19/20,United Kingdom,GBR,125289,18479,.14749101,.2599017,482063
4/19/20,United States,USA,761837,42461,.055735018,.19728793,3861549
4/19/20,Uruguay,URY,528,10,.018939395,.039978798,13207
4/20/20,Afghanistan,AFG,1026,36,.03508772,.15976331,6422
4/20/20,Albania,ALB,584,26,.044520549,.10112554,5775
4/20/20,Algeria,DZA,2718,384,.14128035,.41815385,6500
4/20/20,Andorra,AND,717,37,.051603906,.42857143,1673
4/20/20,Argentina,ARG,2941,136,.046242774,.085078686,34568
4/20/20,Armenia,ARM,1339,22,.016430171,.10012712,13373
4/20/20,Australia,AUS,6623,67,.010116261,.015340464,431734
4/20/20,Austria,AUT,14795,470,.031767488,.080869533,182949
4/20/20,Azerbaijan,AZE,1436,19,.013231197,.014997859,95747
4/20/20,Bangladesh,BGD,2948,101,.034260515,.11081041,26604
4/20/20,Belarus,BLR,6264,51,.0081417626,.061078824,102556
4/20/20,Belgium,BEL,39983,5828,.14576195,.24696718,161896
4/20/20,Bolivia,BOL,564,33,.058510639,.15802746,3569
4/20/20,Bosnia and Herzegovina,BIH,1309,49,.037433155,.070611715,18538
